6-digit,Proposed mapping
711799,TEXT_Textiles
711911,CHEM_Chemical Pharmaceutical Manufacturing
711912,OFFW_Office Worker
711913,MFAC_Metal Finishing & Coating
711914,HLTH_Health Workers
712212,MINE_Miners/Quarrymen
712911,"FAMM_Fitter, Machinist or Maintenance Mechanic"
712913,CONS_Construction Trades
712914,CONS_Construction Trades
712915,CONS_Construction Trades
712916,"IMAR_Industrial Manufacturing, Assembly and repair"
712917,RAIL_Railway
712918,RAIL_Railway
712921,SEWG_Sewage and Water Worker
712922,RDSD_Roadside worker
721111,FARM_Farmer
721112,FORE_Forestry Timbermill
721211,DRIV_Driver
721212,DRIV_Driver
721213,DRIV_Driver
721214,DRIV_Driver
721215,DRIV_Driver
721216,DRIV_Driver
721311,STOR_Store person
721911,AIRT_Air Transport Workers
721912,ROAD_Road Construction
721913,ROAD_Road Construction
721914,RAIL_Railway
721915,ROAD_Road Construction
721916,DRIV_Driver
721999,DRIV_Driver
731111,DRIV_Driver
731112,DRIV_Driver
731199,DRIV_Driver
731211,DRIV_Driver
731212,DRIV_Driver
731213,DRIV_Driver
731311,RAIL_Railway
731312,RAIL_Railway
732111,DRIV_Driver
733111,DRIV_Driver
733112,AIRT_Air Transport Workers
733113,DRIV_Driver
733114,DRIV_Driver
733115,DRIV_Driver
741111,STOR_Store person
811111,CLNR_Cleaner
811311,CLNR_Cleaner
811411,CLNR_Cleaner
811412,CLNR_Cleaner
811511,DRYC_Dry Cleaner
811512,DRYC_Dry Cleaner
811513,DRYC_Dry Cleaner
811611,CLNR_Cleaner
811612,CLNR_Cleaner
811699,CLNR_Cleaner
821112,SEWG_Sewage and Water Worker
821113,CONS_Construction Trades
821114,CONS_Construction Trades
821211,CONS_Construction Trades
821311,CONS_Construction Trades
821411,CONS_Construction Trades
821412,CONS_Construction Trades
821511,ROAD_Road Construction
821611,RAIL_Railway
831111,FOOD_Food Workers
831112,FOOD_Food Workers
831113,FOOD_Food Workers
831114,FOOD_Food Workers
831115,FOOD_Food Workers
